"","ID","quarter","course level","prompt","age","gender","L1","other L1s","L at home","L studied","listening","reading","speaking","writing","lived in Span-speaking co","level","first_person_verb","second_person_verb","third_person_verb","total_main_verbs","total_verbs","Indicative_mood","Subjunctive_mood","Imperative_mood","Participle_mood","Gerund_mood","Infinitive_mood","Present_tense","Imperfect_tense","Future_tense","Preterit_tense","Conditional_tense","ADJECTIVE","CONJUNCTION","DETERMINER","NOUN","PRONOUN","ADVERB","ADPOSITION","VERB","NUMBER","DATE","INTERJECTION","PUNCTUATION","mtld","NumAdj","NumVb","NumTokens","self_assessment_score"
"177",139033,"S18","SPA 24","vacation","20","Female","English","english","no","none",4,3,3,4,"No",24,13,0,15,28,43,28,0,0,2,0,13,9,6,1,12,0,12,16,52,75,6,12,38,43,5,0,0,46,97.0940144778929,12,29,258,14
"178",139504,"F18","SPA 3","terrible","21","Male","English",NA,NA,NA,3,3,4,3,"No",3,2,1,38,41,60,40,0,1,3,1,15,38,1,0,1,0,12,19,46,73,18,14,45,60,3,0,0,30,55.7965517241379,14,46,289,13
"179",140141,"W18","SPA 22","vacation","21","Female","English","n/a","not fluently, but I am currently pursuing Spanish. ","n/a",3,3,3,3,"Yes",22,15,1,15,31,51,30,0,1,0,0,20,28,0,0,2,0,8,16,37,68,11,12,43,51,0,0,0,24,35.4757476340961,9,36,251,12
"180",140508,"S19","SPA 3","terrible","22","Female","English",NA,"no","no",2,3,3,3,"No",3,9,0,29,38,48,35,3,0,5,0,5,5,14,0,19,0,10,14,40,43,29,29,32,48,3,1,0,35,58.1598683459534,10,31,253,11
"181",141324,"W18","SPA 3","vacation","20","Female","English",NA,"No","Mandarin, 3 years",3,3,2,2,"No",3,15,0,16,31,49,29,2,0,3,0,15,31,0,0,0,0,10,16,30,73,17,14,29,49,3,0,1,40,60.2962328767123,11,31,253,10
"182",141549,"S18","SPA 3","vacation","20","Female","English",NA,NA,NA,3,2,2,3,"No",3,17,1,28,46,50,45,1,0,1,0,3,6,19,0,19,2,17,23,48,69,20,11,23,50,3,0,0,41,105.604767184865,20,28,262,10
"183",142113,"W18","SPA 24","vacation","20","Female","Other","Portuguese.","Portuguese. ",NA,4,4,4,4,"Yes",24,13,0,12,25,42,20,5,0,2,11,4,2,5,0,3,15,17,14,44,53,26,20,38,42,0,0,0,29,56.7814620121012,20,28,257,16
"184",142846,"W19","SPA 2","terrible","21","Female","English","-","no","latin for two years, Japanese for two years ",2,3,2,2,"No",2,8,1,23,32,47,28,3,1,4,0,11,11,7,0,13,0,19,17,33,44,44,12,38,47,1,0,0,22,80.035046728972,22,38,255,9
"185",143096,"F18","SPA 2","terrible","21","Male","English,Other","Cantonese","(Cantonese)","Mandarin Chinese - 3",1,2,1,2,"Yes",2,18,0,30,48,60,47,1,0,2,1,9,11,14,0,20,3,13,28,43,54,23,20,33,60,3,0,0,46,73.7517728506052,12,54,273,6
"186",143750,"W18","SPA 3","vacation","21","Male","English",NA,"Liberian-English","French, 3 years in High School ",2,3,2,2,"No",3,12,1,16,29,58,19,10,0,2,5,22,20,7,1,0,1,13,19,37,46,28,18,38,58,0,0,0,24,87.5354961758991,14,41,251,9
"187",143816,"S18","SPA 3","vacation","21","Female","English,Other","Hindi","Hindi","French 4 years",2,2,1,3,"No",3,7,0,24,31,45,29,2,0,3,1,10,27,0,0,0,4,23,22,31,57,11,20,30,45,0,0,0,30,79.0668444514558,25,26,251,8
"188",143816,"W18","SPA 2","vacation","21","Female","English,Other","Hindi","English and Hindi","French for 4 years",1,1,1,1,"No",2,4,0,15,19,25,18,1,0,1,0,5,15,3,0,1,0,15,9,24,40,5,13,20,25,0,0,0,32,78.4056795131846,15,12,154,4
"189",143818,"S18","SPA 3","vacation","20","Male","English",NA,NA,NA,3,2,3,3,"No",3,10,0,25,35,58,33,2,0,4,0,19,19,1,0,1,14,17,16,33,61,10,17,38,58,1,0,1,38,68.0898024294251,19,42,255,11
"190",143818,"W18","SPA 2","vacation","20","Male","English",NA,NA,NA,3,2,2,3,"No",2,0,2,30,32,54,25,7,0,3,0,19,27,0,0,1,4,22,17,36,64,9,19,26,54,4,0,0,32,86.7566287878788,23,27,251,10
"191",144026,"S18","SPA 3","vacation","21","Female","English","n/a","no","n/a",2,2,1,3,"No",3,13,0,24,37,45,37,0,0,0,0,8,15,17,5,0,0,6,28,36,72,27,13,32,45,3,0,0,40,52.8712320574163,6,36,261,8
"192",144352,"S18","SPA 2","vacation","20","Female","English",NA,"No","No other languages",2,3,2,2,"No",2,17,0,20,37,68,35,2,0,4,0,27,16,2,6,5,8,15,24,38,60,14,12,34,68,1,0,0,38,101.517624662245,18,50,264,9
"193",144663,"F19","SPA 24","terrible","viente uno","Female","English",NA,NA,"Español: Ocho años",2,4,3,4,"No",24,11,0,20,31,46,30,1,0,1,0,14,26,0,0,5,0,11,17,45,63,20,13,35,46,1,0,0,38,58.919689119171,17,26,252,13
"194",144759,"W18","SPA 22","vacation","21","Female","Spanish",NA,NA,NA,3,2,3,4,"No",22,22,0,20,42,49,42,0,0,1,0,6,9,13,0,20,0,15,17,50,95,16,12,52,49,2,0,0,57,49.5275528412671,14,38,318,12
"195",144830,"S18","SPA 3","vacation","19","Female","English",NA,NA,"Took Spanish in high school for two years",3,2,1,2,"No",3,3,0,8,11,23,10,1,0,2,0,10,1,2,0,0,8,4,6,12,20,13,5,17,23,0,0,0,10,66.8763888465331,5,18,97,8
"196",144874,"F18","SPA 23","terrible","20","Female","English",NA,"No ",NA,2,3,1,4,"No",23,20,0,21,41,61,39,2,0,3,3,14,11,14,0,11,5,9,26,49,71,18,18,52,61,5,0,0,42,82.7206115774031,11,48,306,10
"197",144879,"F18","SPA 1","terrible","21","Female","Other","Hindi, but I mostly speak English.","Hindi, Marathi, Marwadi ","French, 3 years.",1,1,1,2,"No",1,0,0,23,23,31,23,0,0,3,2,3,23,0,0,0,0,3,18,40,57,7,1,21,31,2,0,0,34,45.9492086436435,5,23,175,5
"198",144879,"W19","SPA 2","terrible","21","Female","Other","Hindi","Hindi, Marathi, Marwadi","French, 7 years.",3,3,3,3,"No",2,27,0,19,46,74,46,0,0,8,2,18,0,13,0,32,1,6,24,47,58,24,14,49,74,1,0,0,47,54.2359028346395,11,52,293,12
"199",144897,"S18","SPA 3","vacation","20","Male","English",NA,"Farsi",NA,2,3,4,2,"No",3,21,0,17,38,64,37,1,0,6,0,20,22,1,1,1,13,12,16,41,59,12,10,33,64,0,0,0,39,84.7366148531952,17,51,250,11
"200",144926,"S18","SPA 3","vacation","19","Female","English",NA,"No","Latin (1 year) ",3,1,2,2,"No",3,19,0,20,39,52,34,4,1,2,0,11,12,0,11,0,15,15,19,51,70,9,13,35,52,0,0,0,39,56.1183431952663,14,39,264,8
